SN#,业务IP地址,网络掩码,业务网关,iLO接口地址,网络掩码,iLO网关地址,设备配置,"H3C SO#
（HPE PO）",HPE SO,台数
6CU73164D7,10.20.22.40,255.255.255.128,10.20.22.126,172.26.11.184,255.255.255.0,172.26.11.254,A1,1000007863,7700554722,9
6CU73164DC,10.20.22.41,255.255.255.128,10.20.22.126,172.26.11.185,255.255.255.0,172.26.11.254,A1,,,
6CU73164DJ,10.20.22.42,255.255.255.128,10.20.22.126,172.26.11.186,255.255.255.0,172.26.11.254,A1,,,
6CU73164DP,10.20.22.43,255.255.255.128,10.20.22.126,172.26.11.187,255.255.255.0,172.26.11.254,A1,,,
6CU73164DW,10.20.22.44,255.255.255.128,10.20.22.126,172.26.11.188,255.255.255.0,172.26.11.254,A1,,,
6CU73164E2,10.20.22.45,255.255.255.128,10.20.22.126,172.26.11.189,255.255.255.0,172.26.11.254,A1,,,
6CU73164E7,10.20.22.46,255.255.255.128,10.20.22.126,172.26.11.190,255.255.255.0,172.26.11.254,A1,,,
6CU73164EC,10.20.22.47,255.255.255.128,10.20.22.126,172.26.11.191,255.255.255.0,172.26.11.254,A1,,,
6CU73164EJ,10.20.22.48,255.255.255.128,10.20.22.126,172.26.11.192,255.255.255.0,172.26.11.254,A1,,,
﻿SN#,业务IP地址,网络掩码,业务网关,iLO接口地址,网络掩码,iLO网关地址,设备配置,"H3C SO#
（HPE PO）",HPE SO,台数
6CU7316B52,10.21.13.67,255.255.255.128,10.21.13.126,172.25.13.67,255.255.255.128,172.25.13.126,A1,1000007858,7700555222,50
6CU7316B57,10.21.13.68,255.255.255.128,10.21.13.126,172.25.13.68,255.255.255.128,172.25.13.126,A1,,,
6CU7316B5C,10.21.13.69,255.255.255.128,10.21.13.126,172.25.13.69,255.255.255.128,172.25.13.126,A1,,,
6CU7316B5J,10.21.13.70,255.255.255.128,10.21.13.126,172.25.13.70,255.255.255.128,172.25.13.126,A1,,,
6CU7316B5P,10.21.13.71,255.255.255.128,10.21.13.126,172.25.13.71,255.255.255.128,172.25.13.126,A1,,,
6CU7316B5W,10.21.13.72,255.255.255.128,10.21.13.126,172.25.13.72,255.255.255.128,172.25.13.126,A1,,,
6CU7316B62,10.21.13.73,255.255.255.128,10.21.13.126,172.25.13.73,255.255.255.128,172.25.13.126,A1,,,
6CU7316B67,10.21.13.74,255.255.255.128,10.21.13.126,172.25.13.74,255.255.255.128,172.25.13.126,A1,,,
6CU7316B6C,10.21.13.75,255.255.255.128,10.21.13.126,172.25.13.75,255.255.255.128,172.25.13.126,A1,,,
6CU7316B6J,10.21.13.76,255.255.255.128,10.21.13.126,172.25.13.76,255.255.255.128,172.25.13.126,A1,,,
6CU7316B6P,10.21.13.77,255.255.255.128,10.21.13.126,172.25.13.77,255.255.255.128,172.25.13.126,A1,,,
6CU7316B6W,10.21.13.78,255.255.255.128,10.21.13.126,172.25.13.78,255.255.255.128,172.25.13.126,A1,,,
6CU7316B72,10.21.13.79,255.255.255.128,10.21.13.126,172.25.13.79,255.255.255.128,172.25.13.126,A1,,,
6CU7316B77,10.21.13.80,255.255.255.128,10.21.13.126,172.25.13.80,255.255.255.128,172.25.13.126,A1,,,
6CU7316B7C,10.21.13.81,255.255.255.128,10.21.13.126,172.25.13.81,255.255.255.128,172.25.13.126,A1,,,
6CU7316B7J,10.21.13.82,255.255.255.128,10.21.13.126,172.25.13.82,255.255.255.128,172.25.13.126,A1,,,
6CU7316B7P,10.21.13.83,255.255.255.128,10.21.13.126,172.25.13.83,255.255.255.128,172.25.13.126,A1,,,
