SN#,业务IP地址,网络掩码,业务网关,iLO接口地址,网络掩码,iLO网关地址,设备配置,"H3C SO#
（HPE PO）",HPE SO,台数
6CU7316BDJ,10.21.14.21,255.255.255.128,10.21.13.126,172.25.14.21,255.255.255.128,172.25.14.126,A1,1000007859,7700554961,50
6CU7316BDP,10.21.14.22,255.255.255.128,10.21.13.126,172.25.14.22,255.255.255.128,172.25.14.126,A1,,,
6CU7316BDW,10.21.14.23,255.255.255.128,10.21.13.126,172.25.14.23,255.255.255.128,172.25.14.126,A1,,,
6CU7316BE2,10.21.14.24,255.255.255.128,10.21.13.126,172.25.14.24,255.255.255.128,172.25.14.126,A1,,,
6CU7316BE7,10.21.14.25,255.255.255.128,10.21.13.126,172.25.14.25,255.255.255.128,172.25.14.126,A1,,,
6CU7316BEC,10.21.14.26,255.255.255.128,10.21.13.126,172.25.14.26,255.255.255.128,172.25.14.126,A1,,,
6CU7316BEJ,10.21.14.27,255.255.255.128,10.21.13.126,172.25.14.27,255.255.255.128,172.25.14.126,A1,,,
6CU7316BEP,10.21.14.28,255.255.255.128,10.21.13.126,172.25.14.28,255.255.255.128,172.25.14.126,A1,,,
6CU7316BEW,10.21.14.29,255.255.255.128,10.21.13.126,172.25.14.29,255.255.255.128,172.25.14.126,A1,,,
6CU7316BF2,10.21.14.30,255.255.255.128,10.21.13.126,172.25.14.30,255.255.255.128,172.25.14.126,A1,,,
6CU7316BF7,10.21.14.31,255.255.255.128,10.21.13.126,172.25.14.31,255.255.255.128,172.25.14.126,A1,,,
6CU7316BFC,10.21.14.32,255.255.255.128,10.21.13.126,172.25.14.32,255.255.255.128,172.25.14.126,A1,,,
6CU7316BFJ,10.21.14.33,255.255.255.128,10.21.13.126,172.25.14.33,255.255.255.128,172.25.14.126,A1,,,
6CU7316BFP,10.21.14.34,255.255.255.128,10.21.13.126,172.25.14.34,255.255.255.128,172.25.14.126,A1,,,
6CU7316BFW,10.21.14.35,255.255.255.128,10.21.13.126,172.25.14.35,255.255.255.128,172.25.14.126,A1,,,
6CU7316BH2,10.21.14.36,255.255.255.128,10.21.13.126,172.25.14.36,255.255.255.128,172.25.14.126,A1,,,
6CU7316BH7,10.21.14.37,255.255.255.128,10.21.13.126,172.25.14.37,255.255.255.128,172.25.14.126,A1,,,
6CU7316BHH,10.21.14.38,255.255.255.128,10.21.13.126,172.25.14.38,255.255.255.128,172.25.14.126,A1,,,
6CU7316BHT,10.21.14.39,255.255.255.128,10.21.13.126,172.25.14.39,255.255.255.128,172.25.14.126,A1,,,
6CU7316BJ6,10.21.14.40,255.255.255.128,10.21.13.126,172.25.14.40,255.255.255.128,172.25.14.126,A1,,,
6CU7316BJH,10.21.14.41,255.255.255.128,10.21.13.126,172.25.14.41,255.255.255.128,172.25.14.126,A1,,,
