SN#,业务IP地址,网络掩码,业务网关,iLO接口地址,网络掩码,iLO网关地址,设备配置,"H3C SO#
（HPE PO）",HPE SO,台数
6CU7315N2P,10.21.6.49,255.255.255.128,10.21.6.126,172.25.6.49,255.255.255.128,172.25.6.126,A1,1000007848,7700554492,50
6CU7315N2W,10.21.6.50,255.255.255.128,10.21.6.126,172.25.6.50,255.255.255.128,172.25.6.126,A1,,,
6CU7315N32,10.21.6.51,255.255.255.128,10.21.6.126,172.25.6.51,255.255.255.128,172.25.6.126,A1,,,
6CU7315N37,10.21.6.52,255.255.255.128,10.21.6.126,172.25.6.52,255.255.255.128,172.25.6.126,A1,,,
6CU7315N3C,10.21.6.53,255.255.255.128,10.21.6.126,172.25.6.53,255.255.255.128,172.25.6.126,A1,,,
6CU7315N3J,10.21.6.54,255.255.255.128,10.21.6.126,172.25.6.54,255.255.255.128,172.25.6.126,A1,,,
6CU7315N3P,10.21.6.55,255.255.255.128,10.21.6.126,172.25.6.55,255.255.255.128,172.25.6.126,A1,,,
6CU7315N3W,10.21.6.56,255.255.255.128,10.21.6.126,172.25.6.56,255.255.255.128,172.25.6.126,A1,,,
6CU7315N42,10.21.6.57,255.255.255.128,10.21.6.126,172.25.6.57,255.255.255.128,172.25.6.126,A1,,,
6CU7315N47,10.21.6.58,255.255.255.128,10.21.6.126,172.25.6.58,255.255.255.128,172.25.6.126,A1,,,
6CU7315N4C,10.21.6.59,255.255.255.128,10.21.6.126,172.25.6.59,255.255.255.128,172.25.6.126,A1,,,
6CU7315N4J,10.21.6.60,255.255.255.128,10.21.6.126,172.25.6.60,255.255.255.128,172.25.6.126,A1,,,
6CU7315N4P,10.21.6.61,255.255.255.128,10.21.6.126,172.25.6.61,255.255.255.128,172.25.6.126,A1,,,
6CU7315N4W,10.21.6.62,255.255.255.128,10.21.6.126,172.25.6.62,255.255.255.128,172.25.6.126,A1,,,
6CU7315N52,10.21.6.63,255.255.255.128,10.21.6.126,172.25.6.63,255.255.255.128,172.25.6.126,A1,,,
6CU7315N57,10.21.6.64,255.255.255.128,10.21.6.126,172.25.6.64,255.255.255.128,172.25.6.126,A1,,,
6CU7315N5C,10.21.6.65,255.255.255.128,10.21.6.126,172.25.6.65,255.255.255.128,172.25.6.126,A1,,,
6CU7315N5J,10.21.6.66,255.255.255.128,10.21.6.126,172.25.6.66,255.255.255.128,172.25.6.126,A1,,,
6CU7315N5P,10.21.6.67,255.255.255.128,10.21.6.126,172.25.6.67,255.255.255.128,172.25.6.126,A1,,,
6CU7315N5W,10.21.6.68,255.255.255.128,10.21.6.126,172.25.6.68,255.255.255.128,172.25.6.126,A1,,,
6CU7315N62,10.21.6.69,255.255.255.128,10.21.6.126,172.25.6.69,255.255.255.128,172.25.6.126,A1,,,
