SN#,业务IP地址,网络掩码,业务网关,iLO接口地址,网络掩码,iLO网关地址,设备配置,"H3C SO#
（HPE PO）",HPE SO,台数
6CU7315W8V,10.21.14.71,255.255.255.128,10.21.14.126,172.25.14.71,255.255.255.128,172.25.14.126,A1,1000007862,7700554494,50
6CU7315W91,10.21.14.72,255.255.255.128,10.21.14.126,172.25.14.72,255.255.255.128,172.25.14.126,A1,,,
6CU7315W96,10.21.14.73,255.255.255.128,10.21.14.126,172.25.14.73,255.255.255.128,172.25.14.126,A1,,,
6CU7315W9B,10.21.14.74,255.255.255.128,10.21.14.126,172.25.14.74,255.255.255.128,172.25.14.126,A1,,,
6CU7315W9H,10.21.14.75,255.255.255.128,10.21.14.126,172.25.14.75,255.255.255.128,172.25.14.126,A1,,,
6CU7315WB5,10.21.14.76,255.255.255.128,10.21.14.126,172.25.14.76,255.255.255.128,172.25.14.126,A1,,,
6CU7315WBF,10.21.14.77,255.255.255.128,10.21.14.126,172.25.14.77,255.255.255.128,172.25.14.126,A1,,,
6CU7315WBV,10.21.14.78,255.255.255.128,10.21.14.126,172.25.14.78,255.255.255.128,172.25.14.126,A1,,,
6CU7315WC5,10.21.14.79,255.255.255.128,10.21.14.126,172.25.14.79,255.255.255.128,172.25.14.126,A1,,,
6CU7315WCF,10.21.14.80,255.255.255.128,10.21.14.126,172.25.14.80,255.255.255.128,172.25.14.126,A1,,,
6CU7315WCT,10.21.14.81,255.255.255.128,10.21.14.126,172.25.14.81,255.255.255.128,172.25.14.126,A1,,,
6CU7315WD6,10.21.14.82,255.255.255.128,10.21.14.126,172.25.14.82,255.255.255.128,172.25.14.126,A1,,,
6CU7315WDH,10.21.14.83,255.255.255.128,10.21.14.126,172.25.14.83,255.255.255.128,172.25.14.126,A1,,,
6CU7315WDT,10.21.14.84,255.255.255.128,10.21.14.126,172.25.14.84,255.255.255.128,172.25.14.126,A1,,,
6CU7315WE5,10.21.14.85,255.255.255.128,10.21.14.126,172.25.14.85,255.255.255.128,172.25.14.126,A1,,,
6CU7315WEH,10.21.14.86,255.255.255.128,10.21.14.126,172.25.14.86,255.255.255.128,172.25.14.126,A1,,,
6CU7315WEV,10.21.14.87,255.255.255.128,10.21.14.126,172.25.14.87,255.255.255.128,172.25.14.126,A1,,,
6CU7315WF5,10.21.14.88,255.255.255.128,10.21.14.126,172.25.14.88,255.255.255.128,172.25.14.126,A1,,,
6CU7315WFF,10.21.14.89,255.255.255.128,10.21.14.126,172.25.14.89,255.255.255.128,172.25.14.126,A1,,,
6CU7315WFT,10.21.14.90,255.255.255.128,10.21.14.126,172.25.14.90,255.255.255.128,172.25.14.126,A1,,,
6CU7315WH5,10.21.14.91,255.255.255.128,10.21.14.126,172.25.14.91,255.255.255.128,172.25.14.126,A1,,,
6CU7315WHF,10.21.14.92,255.255.255.128,10.21.14.126,172.25.14.92,255.255.255.128,172.25.14.126,A1,,,
6CU7315WHX,10.21.14.93,255.255.255.128,10.21.14.126,172.25.14.93,255.255.255.128,172.25.14.126,A1,,,
6CU7315WJH,10.21.14.94,255.255.255.128,10.21.14.126,172.25.14.94,255.255.255.128,172.25.14.126,A1,,,
6CU7315WJX,10.21.14.95,255.255.255.128,10.21.14.126,172.25.14.95,255.255.255.128,172.25.14.126,A1,,,
6CU7315WKC,10.21.14.96,255.255.255.128,10.21.14.126,172.25.14.96,255.255.255.128,172.25.14.126,A1,,,
6CU7315WKW,10.21.15.1,255.255.255.128,10.21.15.126,172.25.15.1,255.255.255.128,172.25.15.126,A1,,,
6CU7315WLD,10.21.15.2,255.255.255.128,10.21.15.126,172.25.15.2,255.255.255.128,172.25.15.126,A1,,,
6CU7315WM1,10.21.15.3,255.255.255.128,10.21.15.126,172.25.15.3,255.255.255.128,172.25.15.126,A1,,,
6CU7315WMH,10.21.15.4,255.255.255.128,10.21.15.126,172.25.15.4,255.255.255.128,172.25.15.126,A1,,,
6CU7315WN1,10.21.15.5,255.255.255.128,10.21.15.126,172.25.15.5,255.255.255.128,172.25.15.126,A1,,,
6CU7315WNJ,10.21.15.6,255.255.255.128,10.21.15.126,172.25.15.6,255.255.255.128,172.25.15.126,A1,,,
6CU7315WP3,10.21.15.7,255.255.255.128,10.21.15.126,172.25.15.7,255.255.255.128,172.25.15.126,A1,,,
6CU7315WPN,10.21.15.8,255.255.255.128,10.21.15.126,172.25.15.8,255.255.255.128,172.25.15.126,A1,,,
6CU7315WR7,10.21.15.9,255.255.255.128,10.21.15.126,172.25.15.9,255.255.255.128,172.25.15.126,A1,,,
6CU7315WRR,10.21.15.10,255.255.255.128,10.21.15.126,172.25.15.10,255.255.255.128,172.25.15.126,A1,,,
6CU7315WS9,10.21.15.11,255.255.255.128,10.21.15.126,172.25.15.11,255.255.255.128,172.25.15.126,A1,,,
6CU7315WSP,10.21.15.12,255.255.255.128,10.21.15.126,172.25.15.12,255.255.255.128,172.25.15.126,A1,,,
6CU7315WT9,10.21.15.13,255.255.255.128,10.21.15.126,172.25.15.13,255.255.255.128,172.25.15.126,A1,,,
6CU7315WTS,10.21.15.14,255.255.255.128,10.21.15.126,172.25.15.14,255.255.255.128,172.25.15.126,A1,,,
6CU7315WVB,10.21.15.15,255.255.255.128,10.21.15.126,172.25.15.15,255.255.255.128,172.25.15.126,A1,,,
6CU7315WVV,10.21.15.16,255.255.255.128,10.21.15.126,172.25.15.16,255.255.255.128,172.25.15.126,A1,,,
6CU7315WWC,10.21.15.17,255.255.255.128,10.21.15.126,172.25.15.17,255.255.255.128,172.25.15.126,A1,,,
6CU7315WWV,10.21.15.18,255.255.255.128,10.21.15.126,172.25.15.18,255.255.255.128,172.25.15.126,A1,,,
6CU7315WXE,10.21.15.19,255.255.255.128,10.21.15.126,172.25.15.19,255.255.255.128,172.25.15.126,A1,,,
6CU7315WY0,10.21.15.20,255.255.255.128,10.21.15.126,172.25.15.20,255.255.255.128,172.25.15.126,A1,,,
6CU7315WYD,10.21.15.21,255.255.255.128,10.21.15.126,172.25.15.21,255.255.255.128,172.25.15.126,A1,,,
6CU7315WYV,10.21.15.22,255.255.255.128,10.21.15.126,172.25.15.22,255.255.255.128,172.25.15.126,A1,,,
6CU7315X05,10.21.15.23,255.255.255.128,10.21.15.126,172.25.15.23,255.255.255.128,172.25.15.126,A1,,,
6CU7315X0H,10.21.15.24,255.255.255.128,10.21.15.126,172.25.15.24,255.255.255.128,172.25.15.126,A1,,,
