SN#,业务IP地址,网络掩码,业务网关,iLO接口地址,网络掩码,iLO网关地址,设备配置,"H3C SO#
（HPE PO）",HPE SO,台数
6CU73163LP,10.21.8.7,255.255.255.128,10.21.8.126,172.25.8.7,255.255.255.128,172.25.8.126,A1,1000007851,7700554959,50
6CU73163LW,10.21.8.8,255.255.255.128,10.21.8.126,172.25.8.8,255.255.255.128,172.25.8.126,A1,,,
6CU73163M2,10.21.8.9,255.255.255.128,10.21.8.126,172.25.8.9,255.255.255.128,172.25.8.126,A1,,,
6CU73163M7,10.21.8.10,255.255.255.128,10.21.8.126,172.25.8.10,255.255.255.128,172.25.8.126,A1,,,
6CU73163MC,10.21.8.11,255.255.255.128,10.21.8.126,172.25.8.11,255.255.255.128,172.25.8.126,A1,,,
6CU73163MJ,10.21.8.12,255.255.255.128,10.21.8.126,172.25.8.12,255.255.255.128,172.25.8.126,A1,,,
6CU73163MP,10.21.8.13,255.255.255.128,10.21.8.126,172.25.8.13,255.255.255.128,172.25.8.126,A1,,,
6CU73163MW,10.21.8.14,255.255.255.128,10.21.8.126,172.25.8.14,255.255.255.128,172.25.8.126,A1,,,
6CU73163N2,10.21.8.15,255.255.255.128,10.21.8.126,172.25.8.15,255.255.255.128,172.25.8.126,A1,,,
6CU73163N7,10.21.8.16,255.255.255.128,10.21.8.126,172.25.8.16,255.255.255.128,172.25.8.126,A1,,,
6CU73163NC,10.21.8.17,255.255.255.128,10.21.8.126,172.25.8.17,255.255.255.128,172.25.8.126,A1,,,
6CU73163NJ,10.21.8.18,255.255.255.128,10.21.8.126,172.25.8.18,255.255.255.128,172.25.8.126,A1,,,
6CU73163NP,10.21.8.19,255.255.255.128,10.21.8.126,172.25.8.19,255.255.255.128,172.25.8.126,A1,,,
6CU73163NW,10.21.8.20,255.255.255.128,10.21.8.126,172.25.8.20,255.255.255.128,172.25.8.126,A1,,,
6CU73163P2,10.21.8.21,255.255.255.128,10.21.8.126,172.25.8.21,255.255.255.128,172.25.8.126,A1,,,
6CU73163P7,10.21.8.22,255.255.255.128,10.21.8.126,172.25.8.22,255.255.255.128,172.25.8.126,A1,,,
6CU73163PC,10.21.8.23,255.255.255.128,10.21.8.126,172.25.8.23,255.255.255.128,172.25.8.126,A1,,,
6CU73163PJ,10.21.8.24,255.255.255.128,10.21.8.126,172.25.8.24,255.255.255.128,172.25.8.126,A1,,,
6CU73163PP,10.21.8.25,255.255.255.128,10.21.8.126,172.25.8.25,255.255.255.128,172.25.8.126,A1,,,
6CU73163PW,10.21.8.26,255.255.255.128,10.21.8.126,172.25.8.26,255.255.255.128,172.25.8.126,A1,,,
6CU73163R2,10.21.8.27,255.255.255.128,10.21.8.126,172.25.8.27,255.255.255.128,172.25.8.126,A1,,,
6CU73163R7,10.21.8.28,255.255.255.128,10.21.8.126,172.25.8.28,255.255.255.128,172.25.8.126,A1,,,
6CU73163RC,10.21.8.29,255.255.255.128,10.21.8.126,172.25.8.29,255.255.255.128,172.25.8.126,A1,,,
6CU73163RN,10.21.8.30,255.255.255.128,10.21.8.126,172.25.8.30,255.255.255.128,172.25.8.126,A1,,,
6CU73163S1,10.21.8.31,255.255.255.128,10.21.8.126,172.25.8.31,255.255.255.128,172.25.8.126,A1,,,
6CU73163SB,10.21.8.32,255.255.255.128,10.21.8.126,172.25.8.32,255.255.255.128,172.25.8.126,A1,,,
6CU73163SN,10.21.8.33,255.255.255.128,10.21.8.126,172.25.8.33,255.255.255.128,172.25.8.126,A1,,,
6CU73163T1,10.21.8.34,255.255.255.128,10.21.8.126,172.25.8.34,255.255.255.128,172.25.8.126,A1,,,
6CU73163TB,10.21.8.35,255.255.255.128,10.21.8.126,172.25.8.35,255.255.255.128,172.25.8.126,A1,,,
6CU73163TN,10.21.8.36,255.255.255.128,10.21.8.126,172.25.8.36,255.255.255.128,172.25.8.126,A1,,,
6CU73163V0,10.21.8.37,255.255.255.128,10.21.8.126,172.25.8.37,255.255.255.128,172.25.8.126,A1,,,
6CU73163VA,10.21.8.38,255.255.255.128,10.21.8.126,172.25.8.38,255.255.255.128,172.25.8.126,A1,,,
6CU73163VL,10.21.8.39,255.255.255.128,10.21.8.126,172.25.8.39,255.255.255.128,172.25.8.126,A1,,,
6CU73163VW,10.21.8.40,255.255.255.128,10.21.8.126,172.25.8.40,255.255.255.128,172.25.8.126,A1,,,
6CU73163W7,10.21.8.41,255.255.255.128,10.21.8.126,172.25.8.41,255.255.255.128,172.25.8.126,A1,,,
6CU73163WJ,10.21.8.42,255.255.255.128,10.21.8.126,172.25.8.42,255.255.255.128,172.25.8.126,A1,,,
6CU73163WW,10.21.8.43,255.255.255.128,10.21.8.126,172.25.8.43,255.255.255.128,172.25.8.126,A1,,,
6CU73163X7,10.21.8.44,255.255.255.128,10.21.8.126,172.25.8.44,255.255.255.128,172.25.8.126,A1,,,
6CU73163XJ,10.21.8.45,255.255.255.128,10.21.8.126,172.25.8.45,255.255.255.128,172.25.8.126,A1,,,
6CU73163XV,10.21.8.46,255.255.255.128,10.21.8.126,172.25.8.46,255.255.255.128,172.25.8.126,A1,,,
6CU73163Y6,10.21.8.47,255.255.255.128,10.21.8.126,172.25.8.47,255.255.255.128,172.25.8.126,A1,,,
6CU73163YH,10.21.8.48,255.255.255.128,10.21.8.126,172.25.8.48,255.255.255.128,172.25.8.126,A1,,,
6CU73163YW,10.21.8.49,255.255.255.128,10.21.8.126,172.25.8.49,255.255.255.128,172.25.8.126,A1,,,
6CU7316407,10.21.8.50,255.255.255.128,10.21.8.126,172.25.8.50,255.255.255.128,172.25.8.126,A1,,,
6CU731640J,10.21.8.51,255.255.255.128,10.21.8.126,172.25.8.51,255.255.255.128,172.25.8.126,A1,,,
6CU731640W,10.21.8.52,255.255.255.128,10.21.8.126,172.25.8.52,255.255.255.128,172.25.8.126,A1,,,
6CU7316417,10.21.8.53,255.255.255.128,10.21.8.126,172.25.8.53,255.255.255.128,172.25.8.126,A1,,,
6CU731641J,10.21.8.54,255.255.255.128,10.21.8.126,172.25.8.54,255.255.255.128,172.25.8.126,A1,,,
6CU731641W,10.21.8.55,255.255.255.128,10.21.8.126,172.25.8.55,255.255.255.128,172.25.8.126,A1,,,
6CU7316427,10.21.8.56,255.255.255.128,10.21.8.126,172.25.8.56,255.255.255.128,172.25.8.126,A1,,,
