SN#,业务IP地址,网络掩码,业务网关,iLO接口地址,网络掩码,iLO网关地址,设备配置,"H3C SO#
（HPE PO）",HPE SO,台数
6CU7315YL8,10.20.21.3,255.255.255.128,10.20.21.126,172.26.11.99,255.255.255.0,172.26.11.254,A1,1000007847,7700555425,50
6CU7315YLD,10.20.21.4,255.255.255.128,10.20.21.126,172.26.11.100,255.255.255.0,172.26.11.254,A1,,,
6CU7315YLK,10.20.21.5,255.255.255.128,10.20.21.126,172.26.11.101,255.255.255.0,172.26.11.254,A1,,,
6CU7315YLR,10.20.21.6,255.255.255.128,10.20.21.126,172.26.11.102,255.255.255.0,172.26.11.254,A1,,,
6CU7315YLX,10.20.21.7,255.255.255.128,10.20.21.126,172.26.11.103,255.255.255.0,172.26.11.254,A1,,,
6CU7315YM3,10.20.21.8,255.255.255.128,10.20.21.126,172.26.11.104,255.255.255.0,172.26.11.254,A1,,,
6CU7315YM8,10.20.21.9,255.255.255.128,10.20.21.126,172.26.11.105,255.255.255.0,172.26.11.254,A1,,,
6CU7315YMD,10.20.21.10,255.255.255.128,10.20.21.126,172.26.11.106,255.255.255.0,172.26.11.254,A1,,,
6CU7315YMK,10.20.21.11,255.255.255.128,10.20.21.126,172.26.11.107,255.255.255.0,172.26.11.254,A1,,,
6CU7315YMR,10.20.21.12,255.255.255.128,10.20.21.126,172.26.11.108,255.255.255.0,172.26.11.254,A1,,,
6CU7315YMX,10.20.21.13,255.255.255.128,10.20.21.126,172.26.11.109,255.255.255.0,172.26.11.254,A1,,,
6CU7315YN3,10.20.21.14,255.255.255.128,10.20.21.126,172.26.11.110,255.255.255.0,172.26.11.254,A1,,,
6CU7315YN8,10.20.21.15,255.255.255.128,10.20.21.126,172.26.11.111,255.255.255.0,172.26.11.254,A1,,,
6CU7315YND,10.20.21.16,255.255.255.128,10.20.21.126,172.26.11.112,255.255.255.0,172.26.11.254,A1,,,
6CU7315YNK,10.20.21.17,255.255.255.128,10.20.21.126,172.26.11.113,255.255.255.0,172.26.11.254,A1,,,
6CU7315YNR,10.20.21.18,255.255.255.128,10.20.21.126,172.26.11.114,255.255.255.0,172.26.11.254,A1,,,
6CU7315YNX,10.20.21.19,255.255.255.128,10.20.21.126,172.26.11.115,255.255.255.0,172.26.11.254,A1,,,
6CU7315YP3,10.20.21.20,255.255.255.128,10.20.21.126,172.26.11.116,255.255.255.0,172.26.11.254,A1,,,
6CU7315YP8,10.20.21.21,255.255.255.128,10.20.21.126,172.26.11.117,255.255.255.0,172.26.11.254,A1,,,
6CU7315YPD,10.20.21.22,255.255.255.128,10.20.21.126,172.26.11.118,255.255.255.0,172.26.11.254,A1,,,
6CU7315YPK,10.20.21.23,255.255.255.128,10.20.21.126,172.26.11.119,255.255.255.0,172.26.11.254,A1,,,
6CU7315YPR,10.20.21.24,255.255.255.128,10.20.21.126,172.26.11.120,255.255.255.0,172.26.11.254,A1,,,
6CU7315YPX,10.20.21.25,255.255.255.128,10.20.21.126,172.26.11.121,255.255.255.0,172.26.11.254,A1,,,
6CU7315YR3,10.20.21.26,255.255.255.128,10.20.21.126,172.26.11.122,255.255.255.0,172.26.11.254,A1,,,
6CU7315YR8,10.20.21.27,255.255.255.128,10.20.21.126,172.26.11.123,255.255.255.0,172.26.11.254,A1,,,
6CU7315YRD,10.20.21.28,255.255.255.128,10.20.21.126,172.26.11.124,255.255.255.0,172.26.11.254,A1,,,
6CU7315YRK,10.20.21.29,255.255.255.128,10.20.21.126,172.26.11.125,255.255.255.0,172.26.11.254,A1,,,
6CU7315YRR,10.20.21.30,255.255.255.128,10.20.21.126,172.26.11.126,255.255.255.0,172.26.11.254,A1,,,
6CU7315YRX,10.20.21.31,255.255.255.128,10.20.21.126,172.26.11.127,255.255.255.0,172.26.11.254,A1,,,
6CU7315YS3,10.20.21.32,255.255.255.128,10.20.21.126,172.26.11.128,255.255.255.0,172.26.11.254,A1,,,
6CU7315YS8,10.20.21.33,255.255.255.128,10.20.21.126,172.26.11.129,255.255.255.0,172.26.11.254,A1,,,
6CU7315YSD,10.20.21.34,255.255.255.128,10.20.21.126,172.26.11.130,255.255.255.0,172.26.11.254,A1,,,
6CU7315YSK,10.20.21.35,255.255.255.128,10.20.21.126,172.26.11.131,255.255.255.0,172.26.11.254,A1,,,
6CU7315YSR,10.20.21.36,255.255.255.128,10.20.21.126,172.26.11.132,255.255.255.0,172.26.11.254,A1,,,
6CU7315YSX,10.20.21.37,255.255.255.128,10.20.21.126,172.26.11.133,255.255.255.0,172.26.11.254,A1,,,
6CU7315YT3,10.20.21.38,255.255.255.128,10.20.21.126,172.26.11.134,255.255.255.0,172.26.11.254,A1,,,
6CU7315YT8,10.20.21.39,255.255.255.128,10.20.21.126,172.26.11.135,255.255.255.0,172.26.11.254,A1,,,
6CU7315YTD,10.20.21.40,255.255.255.128,10.20.21.126,172.26.11.136,255.255.255.0,172.26.11.254,A1,,,
6CU7315YTK,10.20.21.41,255.255.255.128,10.20.21.126,172.26.11.137,255.255.255.0,172.26.11.254,A1,,,
6CU7315YTR,10.20.21.42,255.255.255.128,10.20.21.126,172.26.11.138,255.255.255.0,172.26.11.254,A1,,,
6CU7315YTX,10.20.21.43,255.255.255.128,10.20.21.126,172.26.11.139,255.255.255.0,172.26.11.254,A1,,,
6CU7315YV3,10.20.21.44,255.255.255.128,10.20.21.126,172.26.11.140,255.255.255.0,172.26.11.254,A1,,,
6CU7315YV8,10.20.21.45,255.255.255.128,10.20.21.126,172.26.11.141,255.255.255.0,172.26.11.254,A1,,,
6CU7315YVD,10.20.21.46,255.255.255.128,10.20.21.126,172.26.11.142,255.255.255.0,172.26.11.254,A1,,,
6CU7315YVK,10.20.21.47,255.255.255.128,10.20.21.126,172.26.11.143,255.255.255.0,172.26.11.254,A1,,,
6CU7315YVR,10.20.21.48,255.255.255.128,10.20.21.126,172.26.11.144,255.255.255.0,172.26.11.254,A1,,,
6CU7315YVX,10.20.22.1,255.255.255.128,10.20.22.126,172.26.11.145,255.255.255.0,172.26.11.254,A1,,,
6CU7315YW3,10.20.22.2,255.255.255.128,10.20.22.126,172.26.11.146,255.255.255.0,172.26.11.254,A1,,,
6CU7315YW8,10.20.22.3,255.255.255.128,10.20.22.126,172.26.11.147,255.255.255.0,172.26.11.254,A1,,,
6CU7315YWD,10.20.22.4,255.255.255.128,10.20.22.126,172.26.11.148,255.255.255.0,172.26.11.254,A1,,,
