SN#,业务IP地址,网络掩码,业务网关,iLO接口地址,网络掩码,iLO网关地址,设备配置,"H3C SO#
（HPE PO）",HPE SO,台数
6CU7315LW6,10.21.4.49,255.255.255.128,10.21.4.126,172.25.4.49,255.255.255.128,172.25.4.126,B1,1000007838,7700554723,50
6CU7315LWS,10.21.4.50,255.255.255.128,10.21.4.126,172.25.4.50,255.255.255.128,172.25.4.126,B1,,,
6CU7315LXC,10.21.4.51,255.255.255.128,10.21.4.126,172.25.4.51,255.255.255.128,172.25.4.126,B1,,,
6CU7315LY0,10.21.4.52,255.255.255.128,10.21.4.126,172.25.4.52,255.255.255.128,172.25.4.126,B1,,,
6CU7315LYK,10.21.4.53,255.255.255.128,10.21.4.126,172.25.4.53,255.255.255.128,172.25.4.126,B1,,,
6CU7315M06,10.21.4.54,255.255.255.128,10.21.4.126,172.25.4.54,255.255.255.128,172.25.4.126,B1,,,
6CU7315M0S,10.21.4.55,255.255.255.128,10.21.4.126,172.25.4.55,255.255.255.128,172.25.4.126,B1,,,
6CU7315M1C,10.21.4.56,255.255.255.128,10.21.4.126,172.25.4.56,255.255.255.128,172.25.4.126,B1,,,
6CU7315M20,10.21.4.57,255.255.255.128,10.21.4.126,172.25.4.57,255.255.255.128,172.25.4.126,B1,,,
6CU7315M2K,10.21.4.58,255.255.255.128,10.21.4.126,172.25.4.58,255.255.255.128,172.25.4.126,B1,,,
6CU7315M36,10.21.4.59,255.255.255.128,10.21.4.126,172.25.4.59,255.255.255.128,172.25.4.126,B1,,,
6CU7315M3S,10.21.4.60,255.255.255.128,10.21.4.126,172.25.4.60,255.255.255.128,172.25.4.126,B1,,,
6CU7315M4C,10.21.4.61,255.255.255.128,10.21.4.126,172.25.4.61,255.255.255.128,172.25.4.126,B1,,,
6CU7315M50,10.21.4.62,255.255.255.128,10.21.4.126,172.25.4.62,255.255.255.128,172.25.4.126,B1,,,
6CU7315M5K,10.21.4.63,255.255.255.128,10.21.4.126,172.25.4.63,255.255.255.128,172.25.4.126,B1,,,
6CU7315M66,10.21.4.64,255.255.255.128,10.21.4.126,172.25.4.64,255.255.255.128,172.25.4.126,B1,,,
6CU7315M6S,10.21.4.65,255.255.255.128,10.21.4.126,172.25.4.65,255.255.255.128,172.25.4.126,B1,,,
6CU7315M7C,10.21.4.66,255.255.255.128,10.21.4.126,172.25.4.66,255.255.255.128,172.25.4.126,B1,,,
6CU7315M80,10.21.4.67,255.255.255.128,10.21.4.126,172.25.4.67,255.255.255.128,172.25.4.126,B1,,,
6CU7315M8K,10.21.4.68,255.255.255.128,10.21.4.126,172.25.4.68,255.255.255.128,172.25.4.126,B1,,,
6CU7315M96,10.21.4.69,255.255.255.128,10.21.4.126,172.25.4.69,255.255.255.128,172.25.4.126,B1,,,
6CU7315M9S,10.21.4.70,255.255.255.128,10.21.4.126,172.25.4.70,255.255.255.128,172.25.4.126,B1,,,
6CU7315MAC,10.21.4.71,255.255.255.128,10.21.4.126,172.25.4.71,255.255.255.128,172.25.4.126,B1,,,
6CU7315MB0,10.21.4.72,255.255.255.128,10.21.4.126,172.25.4.72,255.255.255.128,172.25.4.126,B1,,,
6CU7315MBK,10.21.4.73,255.255.255.128,10.21.4.126,172.25.4.73,255.255.255.128,172.25.4.126,B1,,,
