SN#,业务IP地址,网络掩码,业务网关,iLO接口地址,网络掩码,iLO网关地址,设备配置,"H3C SO#
（HPE PO）",HPE SO,台数
6CU7315VTA,10.21.10.13,255.255.255.128,10.21.10.126,172.25.10.13,255.255.255.128,172.25.10.126,A1,1000007854,7700554154,50
6CU7315VTF,10.21.10.14,255.255.255.128,10.21.10.126,172.25.10.14,255.255.255.128,172.25.10.126,A1,,,
6CU7315VTM,10.21.10.15,255.255.255.128,10.21.10.126,172.25.10.15,255.255.255.128,172.25.10.126,A1,,,
6CU7315VTT,10.21.10.16,255.255.255.128,10.21.10.126,172.25.10.16,255.255.255.128,172.25.10.126,A1,,,
6CU7315VV0,10.21.10.17,255.255.255.128,10.21.10.126,172.25.10.17,255.255.255.128,172.25.10.126,A1,,,
6CU7315VV5,10.21.10.18,255.255.255.128,10.21.10.126,172.25.10.18,255.255.255.128,172.25.10.126,A1,,,
6CU7315VVA,10.21.10.19,255.255.255.128,10.21.10.126,172.25.10.19,255.255.255.128,172.25.10.126,A1,,,
6CU7315VVF,10.21.10.20,255.255.255.128,10.21.10.126,172.25.10.20,255.255.255.128,172.25.10.126,A1,,,
6CU7315VVM,10.21.10.21,255.255.255.128,10.21.10.126,172.25.10.21,255.255.255.128,172.25.10.126,A1,,,
6CU7315VVT,10.21.10.22,255.255.255.128,10.21.10.126,172.25.10.22,255.255.255.128,172.25.10.126,A1,,,
6CU7315VW0,10.21.10.23,255.255.255.128,10.21.10.126,172.25.10.23,255.255.255.128,172.25.10.126,A1,,,
6CU7315VW5,10.21.10.24,255.255.255.128,10.21.10.126,172.25.10.24,255.255.255.128,172.25.10.126,A1,,,
6CU7315VWA,10.21.10.25,255.255.255.128,10.21.10.126,172.25.10.25,255.255.255.128,172.25.10.126,A1,,,
6CU7315VWF,10.21.10.26,255.255.255.128,10.21.10.126,172.25.10.26,255.255.255.128,172.25.10.126,A1,,,
6CU7315VWM,10.21.10.27,255.255.255.128,10.21.10.126,172.25.10.27,255.255.255.128,172.25.10.126,A1,,,
6CU7315VWT,10.21.10.28,255.255.255.128,10.21.10.126,172.25.10.28,255.255.255.128,172.25.10.126,A1,,,
6CU7315VX0,10.21.10.29,255.255.255.128,10.21.10.126,172.25.10.29,255.255.255.128,172.25.10.126,A1,,,
6CU7315VX5,10.21.10.30,255.255.255.128,10.21.10.126,172.25.10.30,255.255.255.128,172.25.10.126,A1,,,
6CU7315VXA,10.21.10.31,255.255.255.128,10.21.10.126,172.25.10.31,255.255.255.128,172.25.10.126,A1,,,
6CU7315VXF,10.21.10.32,255.255.255.128,10.21.10.126,172.25.10.32,255.255.255.128,172.25.10.126,A1,,,
6CU7315VXM,10.21.10.33,255.255.255.128,10.21.10.126,172.25.10.33,255.255.255.128,172.25.10.126,A1,,,
6CU7315VXT,10.21.10.34,255.255.255.128,10.21.10.126,172.25.10.34,255.255.255.128,172.25.10.126,A1,,,
6CU7315VY0,10.21.10.35,255.255.255.128,10.21.10.126,172.25.10.35,255.255.255.128,172.25.10.126,A1,,,
6CU7315VY5,10.21.10.36,255.255.255.128,10.21.10.126,172.25.10.36,255.255.255.128,172.25.10.126,A1,,,
6CU7315VYA,10.21.10.37,255.255.255.128,10.21.10.126,172.25.10.37,255.255.255.128,172.25.10.126,A1,,,
6CU7315VYF,10.21.10.38,255.255.255.128,10.21.10.126,172.25.10.38,255.255.255.128,172.25.10.126,A1,,,
6CU7315VYM,10.21.10.39,255.255.255.128,10.21.10.126,172.25.10.39,255.255.255.128,172.25.10.126,A1,,,
6CU7315VYT,10.21.10.40,255.255.255.128,10.21.10.126,172.25.10.40,255.255.255.128,172.25.10.126,A1,,,
6CU7315W00,10.21.10.41,255.255.255.128,10.21.10.126,172.25.10.41,255.255.255.128,172.25.10.126,A1,,,
