SN#,业务IP地址,网络掩码,业务网关,iLO接口地址,网络掩码,iLO网关地址,设备配置,"H3C SO#
（HPE PO）",HPE SO,台数
6CU73163RE,10.21.7.53,255.255.255.128,10.21.7.126,172.25.7.53,255.255.255.128,172.25.7.126,A1,1000007850,7700554960,50
6CU73163RT,10.21.7.54,255.255.255.128,10.21.7.126,172.25.7.54,255.255.255.128,172.25.7.126,A1,,,
6CU73163S5,10.21.7.55,255.255.255.128,10.21.7.126,172.25.7.55,255.255.255.128,172.25.7.126,A1,,,
6CU73163SF,10.21.7.56,255.255.255.128,10.21.7.126,172.25.7.56,255.255.255.128,172.25.7.126,A1,,,
6CU73163ST,10.21.7.57,255.255.255.128,10.21.7.126,172.25.7.57,255.255.255.128,172.25.7.126,A1,,,
6CU73163T5,10.21.7.58,255.255.255.128,10.21.7.126,172.25.7.58,255.255.255.128,172.25.7.126,A1,,,
6CU73163TF,10.21.7.59,255.255.255.128,10.21.7.126,172.25.7.59,255.255.255.128,172.25.7.126,A1,,,
6CU73163TV,10.21.7.60,255.255.255.128,10.21.7.126,172.25.7.60,255.255.255.128,172.25.7.126,A1,,,
6CU73163V6,10.21.7.61,255.255.255.128,10.21.7.126,172.25.7.61,255.255.255.128,172.25.7.126,A1,,,
6CU73163VH,10.21.7.62,255.255.255.128,10.21.7.126,172.25.7.62,255.255.255.128,172.25.7.126,A1,,,
6CU73163VX,10.21.7.63,255.255.255.128,10.21.7.126,172.25.7.63,255.255.255.128,172.25.7.126,A1,,,
6CU73163W9,10.21.7.64,255.255.255.128,10.21.7.126,172.25.7.64,255.255.255.128,172.25.7.126,A1,,,
6CU73163WL,10.21.7.65,255.255.255.128,10.21.7.126,172.25.7.65,255.255.255.128,172.25.7.126,A1,,,
6CU73163WY,10.21.7.66,255.255.255.128,10.21.7.126,172.25.7.66,255.255.255.128,172.25.7.126,A1,,,
6CU73163X9,10.21.7.67,255.255.255.128,10.21.7.126,172.25.7.67,255.255.255.128,172.25.7.126,A1,,,
6CU73163XL,10.21.7.68,255.255.255.128,10.21.7.126,172.25.7.68,255.255.255.128,172.25.7.126,A1,,,
6CU73163Y0,10.21.7.69,255.255.255.128,10.21.7.126,172.25.7.69,255.255.255.128,172.25.7.126,A1,,,
6CU73163YA,10.21.7.70,255.255.255.128,10.21.7.126,172.25.7.70,255.255.255.128,172.25.7.126,A1,,,
6CU73163YL,10.21.7.71,255.255.255.128,10.21.7.126,172.25.7.71,255.255.255.128,172.25.7.126,A1,,,
6CU73163YX,10.21.7.72,255.255.255.128,10.21.7.126,172.25.7.72,255.255.255.128,172.25.7.126,A1,,,
6CU7316409,10.21.7.73,255.255.255.128,10.21.7.126,172.25.7.73,255.255.255.128,172.25.7.126,A1,,,
6CU731640L,10.21.7.74,255.255.255.128,10.21.7.126,172.25.7.74,255.255.255.128,172.25.7.126,A1,,,
6CU731640X,10.21.7.75,255.255.255.128,10.21.7.126,172.25.7.75,255.255.255.128,172.25.7.126,A1,,,
6CU7316418,10.21.7.76,255.255.255.128,10.21.7.126,172.25.7.76,255.255.255.128,172.25.7.126,A1,,,
6CU731641L,10.21.7.77,255.255.255.128,10.21.7.126,172.25.7.77,255.255.255.128,172.25.7.126,A1,,,
