SN#,业务IP地址,网络掩码,业务网关,iLO接口地址,网络掩码,iLO网关地址,设备配置,"H3C SO#
（HPE PO）",HPE SO,台数
6CU7315WHP,10.21.12.63,255.255.255.128,10.21.12.126,172.25.12.63,255.255.255.128,172.25.12.126,A1,1000007855,7700554155,50
6CU7315WJ5,10.21.12.64,255.255.255.128,10.21.12.126,172.25.12.64,255.255.255.128,172.25.12.126,A1,,,
6CU7315WJL,10.21.12.65,255.255.255.128,10.21.12.126,172.25.12.65,255.255.255.128,172.25.12.126,A1,,,
6CU7315WK6,10.21.12.66,255.255.255.128,10.21.12.126,172.25.12.66,255.255.255.128,172.25.12.126,A1,,,
6CU7315WKM,10.21.12.67,255.255.255.128,10.21.12.126,172.25.12.67,255.255.255.128,172.25.12.126,A1,,,
6CU7315WL5,10.21.12.68,255.255.255.128,10.21.12.126,172.25.12.68,255.255.255.128,172.25.12.126,A1,,,
6CU7315WLL,10.21.12.69,255.255.255.128,10.21.12.126,172.25.12.69,255.255.255.128,172.25.12.126,A1,,,
6CU7315WM2,10.21.12.70,255.255.255.128,10.21.12.126,172.25.12.70,255.255.255.128,172.25.12.126,A1,,,
6CU7315WMK,10.21.12.71,255.255.255.128,10.21.12.126,172.25.12.71,255.255.255.128,172.25.12.126,A1,,,
6CU7315WN3,10.21.12.72,255.255.255.128,10.21.12.126,172.25.12.72,255.255.255.128,172.25.12.126,A1,,,
6CU7315WNH,10.21.12.73,255.255.255.128,10.21.12.126,172.25.12.73,255.255.255.128,172.25.12.126,A1,,,
6CU7315WP1,10.21.12.74,255.255.255.128,10.21.12.126,172.25.12.74,255.255.255.128,172.25.12.126,A1,,,
6CU7315WPH,10.21.12.75,255.255.255.128,10.21.12.126,172.25.12.75,255.255.255.128,172.25.12.126,A1,,,
6CU7315WPT,10.21.12.76,255.255.255.128,10.21.12.126,172.25.12.76,255.255.255.128,172.25.12.126,A1,,,
6CU7315WR9,10.21.12.77,255.255.255.128,10.21.12.126,172.25.12.77,255.255.255.128,172.25.12.126,A1,,,
6CU7315WRS,10.21.12.78,255.255.255.128,10.21.12.126,172.25.12.78,255.255.255.128,172.25.12.126,A1,,,
6CU7315WS8,10.21.12.79,255.255.255.128,10.21.12.126,172.25.12.79,255.255.255.128,172.25.12.126,A1,,,
6CU7315WSN,10.21.12.80,255.255.255.128,10.21.12.126,172.25.12.80,255.255.255.128,172.25.12.126,A1,,,
6CU7315WT6,10.21.12.81,255.255.255.128,10.21.12.126,172.25.12.81,255.255.255.128,172.25.12.126,A1,,,
6CU7315WTN,10.21.12.82,255.255.255.128,10.21.12.126,172.25.12.82,255.255.255.128,172.25.12.126,A1,,,
6CU7315WV4,10.21.12.83,255.255.255.128,10.21.12.126,172.25.12.83,255.255.255.128,172.25.12.126,A1,,,
6CU7315WVK,10.21.12.84,255.255.255.128,10.21.12.126,172.25.12.84,255.255.255.128,172.25.12.126,A1,,,
6CU7315WW0,10.21.12.85,255.255.255.128,10.21.12.126,172.25.12.85,255.255.255.128,172.25.12.126,A1,,,
