SN#,业务IP地址,网络掩码,业务网关,iLO接口地址,网络掩码,iLO网关地址,设备配置,"H3C SO#
（HPE PO）",HPE SO,台数
6CU7316BK5,10.21.7.3,255.255.255.128,10.21.7.126,172.25.7.3,255.255.255.128,172.25.7.126,A1,1000007849,7700555220,50
6CU7316BKL,10.21.7.4,255.255.255.128,10.21.7.126,172.25.7.4,255.255.255.128,172.25.7.126,A1,,,
6CU7316BL4,10.21.7.5,255.255.255.128,10.21.7.126,172.25.7.5,255.255.255.128,172.25.7.126,A1,,,
6CU7316BLL,10.21.7.6,255.255.255.128,10.21.7.126,172.25.7.6,255.255.255.128,172.25.7.126,A1,,,
6CU7316BM5,10.21.7.7,255.255.255.128,10.21.7.126,172.25.7.7,255.255.255.128,172.25.7.126,A1,,,
6CU7316BMN,10.21.7.8,255.255.255.128,10.21.7.126,172.25.7.8,255.255.255.128,172.25.7.126,A1,,,
6CU7316BNL,10.21.7.9,255.255.255.128,10.21.7.126,172.25.7.9,255.255.255.128,172.25.7.126,A1,,,
6CU7316BP3,10.21.7.10,255.255.255.128,10.21.7.126,172.25.7.10,255.255.255.128,172.25.7.126,A1,,,
6CU7316BPD,10.21.7.11,255.255.255.128,10.21.7.126,172.25.7.11,255.255.255.128,172.25.7.126,A1,,,
6CU7316BPX,10.21.7.12,255.255.255.128,10.21.7.126,172.25.7.12,255.255.255.128,172.25.7.126,A1,,,
6CU7316BRF,10.21.7.13,255.255.255.128,10.21.7.126,172.25.7.13,255.255.255.128,172.25.7.126,A1,,,
6CU7316BS0,10.21.7.14,255.255.255.128,10.21.7.126,172.25.7.14,255.255.255.128,172.25.7.126,A1,,,
6CU7316BSE,10.21.7.15,255.255.255.128,10.21.7.126,172.25.7.15,255.255.255.128,172.25.7.126,A1,,,
6CU7316BSX,10.21.7.16,255.255.255.128,10.21.7.126,172.25.7.16,255.255.255.128,172.25.7.126,A1,,,
6CU7316BTD,10.21.7.17,255.255.255.128,10.21.7.126,172.25.7.17,255.255.255.128,172.25.7.126,A1,,,
6CU7316BTX,10.21.7.18,255.255.255.128,10.21.7.126,172.25.7.18,255.255.255.128,172.25.7.126,A1,,,
6CU7316BVK,10.21.7.19,255.255.255.128,10.21.7.126,172.25.7.19,255.255.255.128,172.25.7.126,A1,,,
6CU7316BVY,10.21.7.20,255.255.255.128,10.21.7.126,172.25.7.20,255.255.255.128,172.25.7.126,A1,,,
6CU7316BWD,10.21.7.21,255.255.255.128,10.21.7.126,172.25.7.21,255.255.255.128,172.25.7.126,A1,,,
6CU7316BWT,10.21.7.22,255.255.255.128,10.21.7.126,172.25.7.22,255.255.255.128,172.25.7.126,A1,,,
6CU7316BXA,10.21.7.23,255.255.255.128,10.21.7.126,172.25.7.23,255.255.255.128,172.25.7.126,A1,,,
6CU7316BXT,10.21.7.24,255.255.255.128,10.21.7.126,172.25.7.24,255.255.255.128,172.25.7.126,A1,,,
6CU7316BY9,10.21.7.25,255.255.255.128,10.21.7.126,172.25.7.25,255.255.255.128,172.25.7.126,A1,,,
6CU7316BYW,10.21.7.26,255.255.255.128,10.21.7.126,172.25.7.26,255.255.255.128,172.25.7.126,A1,,,
6CU7316C0C,10.21.7.27,255.255.255.128,10.21.7.126,172.25.7.27,255.255.255.128,172.25.7.126,A1,,,
6CU7316C0W,10.21.7.28,255.255.255.128,10.21.7.126,172.25.7.28,255.255.255.128,172.25.7.126,A1,,,
6CU7316C1C,10.21.7.29,255.255.255.128,10.21.7.126,172.25.7.29,255.255.255.128,172.25.7.126,A1,,,
6CU7316C1T,10.21.7.30,255.255.255.128,10.21.7.126,172.25.7.30,255.255.255.128,172.25.7.126,A1,,,
6CU7316C2A,10.21.7.31,255.255.255.128,10.21.7.126,172.25.7.31,255.255.255.128,172.25.7.126,A1,,,
6CU7316C2M,10.21.7.32,255.255.255.128,10.21.7.126,172.25.7.32,255.255.255.128,172.25.7.126,A1,,,
6CU7316C30,10.21.7.33,255.255.255.128,10.21.7.126,172.25.7.33,255.255.255.128,172.25.7.126,A1,,,
6CU7316C39,10.21.7.34,255.255.255.128,10.21.7.126,172.25.7.34,255.255.255.128,172.25.7.126,A1,,,
6CU7316C3L,10.21.7.35,255.255.255.128,10.21.7.126,172.25.7.35,255.255.255.128,172.25.7.126,A1,,,
6CU7316C3Y,10.21.7.36,255.255.255.128,10.21.7.126,172.25.7.36,255.255.255.128,172.25.7.126,A1,,,
6CU7316C49,10.21.7.37,255.255.255.128,10.21.7.126,172.25.7.37,255.255.255.128,172.25.7.126,A1,,,
6CU7316C4M,10.21.7.38,255.255.255.128,10.21.7.126,172.25.7.38,255.255.255.128,172.25.7.126,A1,,,
6CU7316C4Y,10.21.7.39,255.255.255.128,10.21.7.126,172.25.7.39,255.255.255.128,172.25.7.126,A1,,,
6CU7316C5B,10.21.7.40,255.255.255.128,10.21.7.126,172.25.7.40,255.255.255.128,172.25.7.126,A1,,,
6CU7316C5N,10.21.7.41,255.255.255.128,10.21.7.126,172.25.7.41,255.255.255.128,172.25.7.126,A1,,,
6CU7316C60,10.21.7.42,255.255.255.128,10.21.7.126,172.25.7.42,255.255.255.128,172.25.7.126,A1,,,
6CU7316C6A,10.21.7.43,255.255.255.128,10.21.7.126,172.25.7.43,255.255.255.128,172.25.7.126,A1,,,
6CU7316C6M,10.21.7.44,255.255.255.128,10.21.7.126,172.25.7.44,255.255.255.128,172.25.7.126,A1,,,
6CU7316C70,10.21.7.45,255.255.255.128,10.21.7.126,172.25.7.45,255.255.255.128,172.25.7.126,A1,,,
6CU7316C7A,10.21.7.46,255.255.255.128,10.21.7.126,172.25.7.46,255.255.255.128,172.25.7.126,A1,,,
6CU7316C7J,10.21.7.47,255.255.255.128,10.21.7.126,172.25.7.47,255.255.255.128,172.25.7.126,A1,,,
6CU7316C7P,10.21.7.48,255.255.255.128,10.21.7.126,172.25.7.48,255.255.255.128,172.25.7.126,A1,,,
6CU7316C7W,10.21.7.49,255.255.255.128,10.21.7.126,172.25.7.49,255.255.255.128,172.25.7.126,A1,,,
6CU7316C82,10.21.7.50,255.255.255.128,10.21.7.126,172.25.7.50,255.255.255.128,172.25.7.126,A1,,,
6CU7316C87,10.21.7.51,255.255.255.128,10.21.7.126,172.25.7.51,255.255.255.128,172.25.7.126,A1,,,
6CU7316C8C,10.21.7.52,255.255.255.128,10.21.7.126,172.25.7.52,255.255.255.128,172.25.7.126,A1,,,
