SN#,业务IP地址,网络掩码,业务网关,iLO接口地址,网络掩码,iLO网关地址,设备配置,"H3C SO#
（HPE PO）",HPE SO,台数
6CU7316KSJ,10.20.23.1,255.255.255.128,10.20.23.126,172.26.11.193,255.255.255.0,172.26.11.254,A3,1000007860,7700555610,50
6CU7316KSW,10.20.23.2,255.255.255.128,10.20.23.126,172.26.11.194,255.255.255.0,172.26.11.254,A3,,,
6CU7316KT8,10.20.23.3,255.255.255.128,10.20.23.126,172.26.11.195,255.255.255.0,172.26.11.254,A3,,,
6CU7316KTK,10.20.23.4,255.255.255.128,10.20.23.126,172.26.11.196,255.255.255.0,172.26.11.254,A3,,,
6CU7316KTX,10.20.23.5,255.255.255.128,10.20.23.126,172.26.11.197,255.255.255.0,172.26.11.254,A3,,,
6CU7316KV8,10.20.23.6,255.255.255.128,10.20.23.126,172.26.11.198,255.255.255.0,172.26.11.254,A3,,,
6CU7316KVK,10.20.23.7,255.255.255.128,10.20.23.126,172.26.11.199,255.255.255.0,172.26.11.254,A3,,,
6CU7316KVX,10.20.23.8,255.255.255.128,10.20.23.126,172.26.11.200,255.255.255.0,172.26.11.254,A3,,,
6CU7316KW8,10.20.23.9,255.255.255.128,10.20.23.126,172.26.11.201,255.255.255.0,172.26.11.254,A3,,,
6CU7316KWK,10.20.23.10,255.255.255.128,10.20.23.126,172.26.11.202,255.255.255.0,172.26.11.254,A3,,,
6CU7316KWX,10.20.23.11,255.255.255.128,10.20.23.126,172.26.11.203,255.255.255.0,172.26.11.254,A3,,,
6CU7316KX8,10.20.23.12,255.255.255.128,10.20.23.126,172.26.11.204,255.255.255.0,172.26.11.254,A3,,,
6CU7316KXK,10.20.23.13,255.255.255.128,10.20.23.126,172.26.11.205,255.255.255.0,172.26.11.254,A3,,,
6CU7316KXX,10.20.23.14,255.255.255.128,10.20.23.126,172.26.11.206,255.255.255.0,172.26.11.254,A3,,,
6CU7316KY8,10.20.23.15,255.255.255.128,10.20.23.126,172.26.11.207,255.255.255.0,172.26.11.254,A3,,,
6CU7316KYK,10.20.23.16,255.255.255.128,10.20.23.126,172.26.11.208,255.255.255.0,172.26.11.254,A3,,,
6CU7316KYX,10.20.23.17,255.255.255.128,10.20.23.126,172.26.11.209,255.255.255.0,172.26.11.254,A3,,,
6CU7316L08,10.20.23.18,255.255.255.128,10.20.23.126,172.26.11.210,255.255.255.0,172.26.11.254,A3,,,
6CU7316L0K,10.20.23.19,255.255.255.128,10.20.23.126,172.26.11.211,255.255.255.0,172.26.11.254,A3,,,
6CU7316L0X,10.20.23.20,255.255.255.128,10.20.23.126,172.26.11.212,255.255.255.0,172.26.11.254,A3,,,
6CU7316L18,10.20.23.21,255.255.255.128,10.20.23.126,172.26.11.213,255.255.255.0,172.26.11.254,A3,,,
6CU7316L1K,10.20.23.22,255.255.255.128,10.20.23.126,172.26.11.214,255.255.255.0,172.26.11.254,A3,,,
6CU7316L1X,10.20.23.23,255.255.255.128,10.20.23.126,172.26.11.215,255.255.255.0,172.26.11.254,A3,,,
6CU7316L28,10.20.23.24,255.255.255.128,10.20.23.126,172.26.11.216,255.255.255.0,172.26.11.254,A3,,,
6CU7316L2K,10.20.23.25,255.255.255.128,10.20.23.126,172.26.11.217,255.255.255.0,172.26.11.254,A3,,,
6CU7316L2X,10.20.23.26,255.255.255.128,10.20.23.126,172.26.11.218,255.255.255.0,172.26.11.254,A3,,,
6CU7316L38,10.20.23.27,255.255.255.128,10.20.23.126,172.26.11.219,255.255.255.0,172.26.11.254,A3,,,
6CU7316L3K,10.20.23.28,255.255.255.128,10.20.23.126,172.26.11.220,255.255.255.0,172.26.11.254,A3,,,
6CU7316L3X,10.20.23.29,255.255.255.128,10.20.23.126,172.26.11.221,255.255.255.0,172.26.11.254,A3,,,
6CU7316L48,10.20.23.30,255.255.255.128,10.20.23.126,172.26.11.222,255.255.255.0,172.26.11.254,A3,,,
6CU7316L4K,10.20.23.31,255.255.255.128,10.20.23.126,172.26.11.223,255.255.255.0,172.26.11.254,A3,,,
6CU7316L4X,10.20.23.32,255.255.255.128,10.20.23.126,172.26.11.224,255.255.255.0,172.26.11.254,A3,,,
6CU7316L58,10.20.23.33,255.255.255.128,10.20.23.126,172.26.11.225,255.255.255.0,172.26.11.254,A3,,,
6CU7316L5K,10.20.23.34,255.255.255.128,10.20.23.126,172.26.11.226,255.255.255.0,172.26.11.254,A3,,,
6CU7316L5X,10.20.23.35,255.255.255.128,10.20.23.126,172.26.11.227,255.255.255.0,172.26.11.254,A3,,,
