SN#,业务IP地址,网络掩码,业务网关,iLO接口地址,网络掩码,iLO网关地址,设备配置,"H3C SO#
（HPE PO）",HPE SO,台数
6CU7315Y88,10.20.20.1,255.255.255.128,10.20.20.126,172.26.11.49,255.255.255.0,172.26.11.254,A1,1000007846,7700555045,50
6CU7315Y8D,10.20.20.2,255.255.255.128,10.20.20.126,172.26.11.50,255.255.255.0,172.26.11.254,A1,,,
6CU7315Y8K,10.20.20.3,255.255.255.128,10.20.20.126,172.26.11.51,255.255.255.0,172.26.11.254,A1,,,
6CU7315Y8R,10.20.20.4,255.255.255.128,10.20.20.126,172.26.11.52,255.255.255.0,172.26.11.254,A1,,,
6CU7315Y8X,10.20.20.5,255.255.255.128,10.20.20.126,172.26.11.53,255.255.255.0,172.26.11.254,A1,,,
6CU7315Y93,10.20.20.6,255.255.255.128,10.20.20.126,172.26.11.54,255.255.255.0,172.26.11.254,A1,,,
6CU7315Y98,10.20.20.7,255.255.255.128,10.20.20.126,172.26.11.55,255.255.255.0,172.26.11.254,A1,,,
6CU7315Y9D,10.20.20.8,255.255.255.128,10.20.20.126,172.26.11.56,255.255.255.0,172.26.11.254,A1,,,
6CU7315Y9K,10.20.20.9,255.255.255.128,10.20.20.126,172.26.11.57,255.255.255.0,172.26.11.254,A1,,,
6CU7315Y9R,10.20.20.10,255.255.255.128,10.20.20.126,172.26.11.58,255.255.255.0,172.26.11.254,A1,,,
6CU7315Y9X,10.20.20.11,255.255.255.128,10.20.20.126,172.26.11.59,255.255.255.0,172.26.11.254,A1,,,
6CU7315YA3,10.20.20.12,255.255.255.128,10.20.20.126,172.26.11.60,255.255.255.0,172.26.11.254,A1,,,
6CU7315YA8,10.20.20.13,255.255.255.128,10.20.20.126,172.26.11.61,255.255.255.0,172.26.11.254,A1,,,
6CU7315YAD,10.20.20.14,255.255.255.128,10.20.20.126,172.26.11.62,255.255.255.0,172.26.11.254,A1,,,
6CU7315YAK,10.20.20.15,255.255.255.128,10.20.20.126,172.26.11.63,255.255.255.0,172.26.11.254,A1,,,
6CU7315YAR,10.20.20.16,255.255.255.128,10.20.20.126,172.26.11.64,255.255.255.0,172.26.11.254,A1,,,
6CU7315YAX,10.20.20.17,255.255.255.128,10.20.20.126,172.26.11.65,255.255.255.0,172.26.11.254,A1,,,
6CU7315YB3,10.20.20.18,255.255.255.128,10.20.20.126,172.26.11.66,255.255.255.0,172.26.11.254,A1,,,
6CU7315YB8,10.20.20.19,255.255.255.128,10.20.20.126,172.26.11.67,255.255.255.0,172.26.11.254,A1,,,
6CU7315YBD,10.20.20.20,255.255.255.128,10.20.20.126,172.26.11.68,255.255.255.0,172.26.11.254,A1,,,
6CU7315YBK,10.20.20.21,255.255.255.128,10.20.20.126,172.26.11.69,255.255.255.0,172.26.11.254,A1,,,
6CU7315YBR,10.20.20.22,255.255.255.128,10.20.20.126,172.26.11.70,255.255.255.0,172.26.11.254,A1,,,
